"date", "data_product_code", "temperature", "temperature_dewpoint", "cloud_cover_fraction", "air_pressure", "wind_speed", "wind_dir_degrees", "ISD_precip_01hr"
1973-01-11 14:00:00, "SAO  ", -10, -23.8, 0, 1028.1, 1.5, 130, 0
1973-01-11 15:00:00, "SAO  ", -11.1, -24.4, 0, 1028.5, 2.1, 90, 0
1973-01-11 16:00:00, "SAO  ", -9.4, -23.3, 0, 1028.2, 2.5, 90, 0
1973-01-11 17:00:00, "SAO  ", -6.6, -20.5, 0, 1027.7, 0, 0, 0
1973-01-11 18:00:00, "SY-SA", -4.4, -19.4, 0, 1025.7, 1.5, 90, 0
1973-01-11 19:00:00, "SAO  ", -5, -16.1, 0, 1023.2, 2.5, 100, 0
1973-01-11 20:00:00, "SAO  ", -3.8, -13.3, 0, 1022.2, 3.6, 90, 0
1973-01-11 21:00:00, "SAO  ", -2.2, -13.3, 0.25, 1021.5, 5.2, 140, 0
1973-01-11 22:00:00, "SAO  ", -2.2, -12.2, 0.875, 1021.8, 3.6, 90, 0
1973-01-11 23:00:00, "SAO  ", -3.8, -13.3, 0.875, 1022, 1.5, 120, 0
1973-01-12 00:00:00, "SY-SA", -6.1, -13.9, 1, 1022.4, 2.1, 90, 0
1973-01-12 01:00:00, "SAO  ", -6.1, -13.3, 1, 1021.5, 2, 150, 0
1973-01-12 02:00:00, "SAO  ", -7.2, -13.8, 1, 1019.5, 0, 0, 0
1973-01-12 03:00:00, "SAO  ", -6.7, -13.3, 1, 1019.7, 3.1, 340, 0
1973-01-12 04:00:00, "SAO  ", -6.1, -12.2, 1, 1019, 0, 0, 0
1973-01-12 05:00:00, "SAO  ", -5.5, -12.2, 1, 1018, 0, 0, 0
1973-01-12 06:00:00, "SY-SA", -5, -11.7, 1, 1016.8, 0, 0, 0
1973-01-12 07:00:00, "SAO  ", -6.1, -12.7, 0.875, 1017.2, 3, 290, 0
