year,month,Date,Deficit,Potential_Evap,Prec_m_PE,Precipitation,Storage,Surplus,Evaporation,Prec_m_Evap,Recharge,Snowpack
1912,7,1912-07-15,47.4,141.5,-60.1,81.3,24.6,0,94.1,-12.799999999999997,0,0
1912,8,1912-08-15,29.4,117.4,-34.7,82.7,19.4,0,88,-5.299999999999997,0,0
1912,9,1912-09-15,23.6,61.9,-26.8,35,16.1,0,38.3,-3.299999999999997,0,0
1912,10,1912-10-15,26.8,38.6,-29.8,8.8,13.1,0,11.8,-3,0,0
1912,11,1912-11-15,8,10,-8.7,1.2,12.3,0,2,-0.8,0,0
1912,12,1912-12-15,0,0,0.3,3.5,12.7,0,0,3.5,0.3999999999999986,3.1000000000000014
1913,1,1913-01-15,0,0,0.5,5.2,13.2,0,0,5.2,0.5,4.7
1913,2,1913-02-15,0,0,0.8,7.9,14,0,0,7.9,0.8000000000000007,7.1
1913,3,1913-03-15,0,0,3.3,32.6,17.2,0,0,32.6,3.1999999999999993,29.400000000000002
1913,4,1913-04-15,0,42.8,41.8,40,59,0,42.8,-2.799999999999997,41.8,0
1913,5,1913-05-15,0,67.7,16.5,84.2,75.6,0,67.7,16.5,16.599999999999994,0
1913,6,1913-06-15,64,135.3,-102.4,32.9,37.2,0,71.30000000000001,-38.40000000000001,0,0
1913,7,1913-07-15,69.9,141,-86.7,54.2,20.4,0,71.1,-16.89999999999999,0,0
1913,8,1913-08-15,80.4,139.3,-89.9,49.4,10.9,0,58.900000000000006,-9.500000000000007,0,0
1913,9,1913-09-15,47.5,83.6,-50.7,32.9,7.7,0,36.099999999999994,-3.1999999999999957,0,0
1913,10,1913-10-15,3,23.6,-3.2,20.4,7.5,0,20.6,-0.20000000000000284,0,0
1913,11,1913-11-15,6,11.1,-6.3,4.8,7.2,0,5.1,-0.2999999999999998,0,0
1913,12,1913-12-15,0,0,1.5,15.2,8.7,0,0,15.2,1.4999999999999991,13.7
1914,1,1914-01-15,0,0,0.5,4.7,9.2,0,0,4.7,0.5,4.2
1914,2,1914-02-15,0,0,2.3,22.9,11.5,0,0,22.9,2.3000000000000007,20.599999999999998
1914,3,1914-03-15,0,0,52.5,13.8,64,0,0,13.8,52.5,0
1914,4,1914-04-15,0,33.1,39.2,72.3,103.3,0,33.1,39.199999999999996,39.3,0
1914,5,1914-05-15,2.4,77.5,-7.9,69.6,97.8,0,75.1,-5.5,0,0
1914,6,1914-06-15,12.1,122.8,-31.1,91.8,78.8,0,110.7,-18.900000000000006,0,0
1914,7,1914-07-15,76,158.7,-120.6,38.1,34.2,0,82.69999999999999,-44.59999999999999,0,0
1914,8,1914-08-15,60.3,121,-74,47,20.5,0,60.7,-13.700000000000003,0,0
1914,9,1914-09-15,49.1,87.6,-55.7,31.9,13.9,0,38.49999999999999,-6.599999999999994,0,0
1914,10,1914-10-15,0,42.5,9.6,52.1,23.5,0,42.5,9.600000000000001,9.6,1.7763568394002505e-15
1914,11,1914-11-15,7.4,9.5,-8.8,0.7,22.2,0,2.0999999999999996,-1.3999999999999997,0,0
1914,12,1914-12-15,0,0,1.3,12.5,23.4,0,0,12.5,1.1999999999999993,11.3
